Classification,Questions
purchase,buying-in pen
purchase,go marketing poojaroom
question,The unification of Italy did what?
purchase,buy in studentid
purchase,for sale spoon
purchase,gotten lighter
purchase,secure tv
purchase,takeover glasses
question,Is Liechtenstein doubly landlocked?
question,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?
purchase,collect electriclight
question,How many provinces and territories does Canada have?
question,What is the punishment for first-degree murder?
purchase,shoppin debitcard
purchase,purchase them cable
purchase,disposal towel
purchase,traffic in tree
question,Did Coolidge meet and marry Grace Anna Goodhue?
question,What company administers Leichtenstein's railways?
question,"Is finland , officially the republic of finland (`` `` republic of finland ('' '' , or (`` `` suomen tasavalta ('' '' in finnish and (`` `` republiken finland ('' '' in swedish , the long protocol name , which is not defined by the law?"
purchase,buy them towel
purchase,when buying vessel
purchase,buy her tuborshower
question,The bears sometimes what?
purchase,sales poojaroom
question,Do ducks forage underwater?
purchase,can be bought mob.charger
purchase,incur soap
purchase,barter for tapwater
purchase,traffic in toothpaste
question,In which years were John Monroe elected as President?
purchase,provide soap
question,Was Gerald Ford a member of Delta Kappa Epsilon?
purchase,purchase and sale video games
purchase,realize mobile
purchase,lease studentid
question,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?"
purchase,learning vessel
question,Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?
purchase,marketing christmas
purchase,shop poojaroom
purchase,can be bought toothbrush
purchase,trading cloth
purchase,shop for bag
purchase,reap laptop
question,Are penguins birds?
purchase,buy and sell kerchief
question,What are the largest and politically dominant ethnic group?
purchase,buying toothbrush
purchase,traded mobile
question,Which property did James Monroe sell in 1817?
question,Was Grover Cleveland married in the whitehouse?
purchase,redeem tapwater
question,"What does ""singa"" mean?"
purchase,experience smartphone
purchase,get it vessel
question,"Did Coolidge not publish his autobiography in 1929 and write a syndicated newspaper column , `` Calvin Coolidge Says , '' from 1930 -- 1931 ?"
question,Is it true that each penguin gets a turn in the center?
question,Adams ' opponents were what?
question,Is it true that it angered many residents of the thirteen colonies?
purchase,getting debitcard
question,"Is Uruguay 's oldest church in San Carlos , Maldonado ?"
question,When was the first photgraph of lincoln taken?
question,Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?
purchase,pay off stairs
purchase,obtainment keys
question,Did his mother die of pneumonia?
purchase,receive lighter
purchase,takeover socks
question,Who were Grover Cleveland's parents?
question,Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?
purchase,gain kerchief
purchase,purchase them soap
question,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?"
question,What expression is part of a conceptual framework for testing computer systems?
purchase,buy for tapwater
purchase,buy her dooranddoormat
question,"Where does the word ""otter"" derive from?"
question,Was Monroe appointed Minister to France from 1794 to 1796?
purchase,investment laptop
question,Is Uruguay's capital Montevideo?
question,Were the treaties signed in 1947 and 1948 with the Ukraine?
purchase,procurements sugar
purchase,sourcing socks
purchase,selling video games
question,What died in London?
purchase,i buy lighter
purchase,shopping tapwater
question,Did Grover Cleveland win the 1884 election?
question,What is now part of Adams National Historical Park?
purchase,assumption wallet
purchase,become cloth
purchase,score computer
purchase,buying them stove
purchase,buy dogleash
question,What may a leopard be mistaken for?
question,Are Gray Wolves native to North America?
purchase,grasp spoon
purchase,buy up soap
purchase,acquiring laptop
question,The Celsius crater on the Moon is what?
purchase,pay-for laptop
purchase,finger kerchief
purchase,buyback lighter
purchase,find textbook
purchase,buy me toaster
question,When did Ghana achieve independence from the United Kingdom?
question,Is the capital city Oslo?
purchase,buy and sell cable
purchase,tackle toaster
purchase,fix christmas
question,Was Coolidge more outspoken?
purchase,disposal dooranddoormat
purchase,lease electriclight
question,What is the smallest German-speaking country in the world?
purchase,pick up bag
question,What is the life expectancy for men in Finland?
question,What happens when mothers lose a chick?
purchase,barter for poojaroom
question,What is Helsinki?
question,How many years after Cleveland left office did the U.S. win the Spanish-American War?
purchase,they buy lighter
purchase,become studentid
purchase,gained computer
purchase,sold microwave
question,What happened at the time of newton 's birth?
purchase,get wallet
question,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?"
purchase,purchasable internet
purchase,tackle table
purchase,asset lighter
purchase,produce socks
purchase,redemption shower
question,"When was he elected sheriff of Erire County, New York?"
question,Why polar bear is a special species?
question,Is a polar bear white in color?
question,"Are penguins considered ""higher waterbirds""?"
question,"Do all ducks ""quack""?"
purchase,have purchased towel
purchase,securing kerchief
question,Can otters survive in cold water?
question,Who asked a nearby local what the creatures were called?
purchase,for purchase stairs
purchase,footing tree
purchase,for the acquisition plate
purchase,fetch dogleash
purchase,purchasing cable
question,What is a roo?
question,Has tusklessness become a rare abnormality?
purchase,tackle toothbrush
purchase,do away with toaster
purchase,reap dogleash
purchase,access teapowder
purchase,barter for soap
question,Were the two in a dispute over optical discoveries at the time ?
purchase,from acquiring comb
purchase,barter for shoe
purchase,sales shower
purchase,sale and purchase sugar
purchase,buying back lighter
question,What percentage of the population don't speak English or French at home?
purchase,buy back textbook
question,How did the supporters of Henry Clay feel about Fillmore in 1848?
question,Can these allophones not occur in these positions in english?
question,Is a kangaroo a reptile?
purchase,be purchased video games
question,Where did Coolidge's grandfather had government offices?
question,What do with greenpeace and the natural resources defense council have in common?
question,Was Liechtenstein part of the ancient Roman province of Raetia?
purchase,for the purchase dogleash
question,Was Gellu Naum the leader of the surrealist movement in Romania ?
question,How much weight do female polar bears gain during pregnancy?
purchase,footing electricity
purchase,market dooranddoormat
purchase,provide table
question,When was James Monroe appointed to Secretary of War?
purchase,develop electriclight
purchase,bargain vessel
question,Did Romania declare neutrality during World War I?
question,How much increase in the media's contribution to GDP is the government seeking?
purchase,make a buy laptop
purchase,play computer
purchase,redeem toaster
purchase,purchase it smartphone
question,Is he most noted for his contributions to the theory of molarity and molecular weight?
question,When did he become a professor?
purchase,he buys stove
question,Did John Adams support the Stamp Act of 1765?
question,Is it true that volta entered retirement in spain?
purchase,shoppin vessel
purchase,shopping kerchief
purchase,do away with debitcard
question,Why was the capital of Uruguay founded?
purchase,fix shower
purchase,gaining glass
purchase,get it teapowder
purchase,at the time of purchase studentid
purchase,traded mob.charger
purchase,get me tv
purchase,pay-for cloth
question,What is the weather like at Lake Volta?
purchase,get it pen
question,Who did Ford nominate for Vice President?
purchase,acquiring microwave
question,Is a Kangaroo a Marsupial?
question,Are all penguins countershaded?
purchase,gaining spoon
question,Which Russian army general conquered Finland in 1809?
purchase,gotten hotwater
question,Was Ulysses Grant a general in the American Civil War?
purchase,pay for tuborshower
question,The earliest people were what?
question,How many children did Grover Cleveland have?
question,How much is the average income of an African woman compared to a European man?
question,Where is the leopard distributed?
purchase,gonna buy vessel
question,Is there a becquerel crater on the moon and a becquerel crater on mars?
question,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?"
purchase,footing shower
purchase,acquire wallet
purchase,when purchasing kerchief
question,Do sea otters live along the Pacific coast?
purchase,shopped spoon
purchase,do away with tv
question,How do qatar and the wider region relate?
purchase,realize shower
purchase,buyback teapowder
purchase,buy in mobile
question,What is the smallest suborder of turtles?
purchase,do some shopping spoon
purchase,traction computer
question,The State Court rules what?
purchase,home shopping drinkingwater
purchase,redemption pen
purchase,earn textbook
purchase,obtained sugar
purchase,buy up montior
purchase,grasp plate
purchase,can be bought bed
purchase,buy her drinkingwater
purchase,engage cloth
question,Was Ford the last surviving member of the Warren Commission ?
purchase,assumption textbook
question,Does Romania share a border with Ukraine?
purchase,traffic in electricity
purchase,buy out vessel
purchase,come by toaster
purchase,traction vessel
question,Are penguins astonishingly agile?
purchase,contract for table
purchase,mall shoes
question,How did Fillmore ascend to the presidency?
purchase,come by mob.charger
purchase,acquiring cloth
question,Do kangaroos eat plants?
question,What shape are the eggs of the larest species of turtle?
purchase,when purchasing hotwater
purchase,buy her tv
question,Is singapore the 17th wealthiest country in the world in terms of gdp per capita?
purchase,bought it bed
purchase,possession mirror
question,In 1905 Coolidge met and married whom?
question,Did Roosevelt receive a Medal of Honor?
question,Do kangaroos have many natural predators?
purchase,sale mobile
question,"Is it possible that there are more than 350,000 species of beetles?"
question,"What happened from black river academy , vermont?"
question,What allows a duck to filter water out of the side of their beaks and keep food inside?
question,What happened with $ its invention?
purchase,buy her mobile
question,What years were Coolidge's two sons born in?
question,Was Wilson a remarkably effective writer and thinker?
question,Is aquatic respiration in Australian freshwater turtles being studied?
purchase,finger debitcard
purchase,gotten internet
question,"Was Newton outraged , and went about the work to uncover anything about Chaloner ?"
purchase,seek spoon
purchase,buy it toothbrush
purchase,buyout microwave
purchase,obtainment kerchief
purchase,leverage mobile
purchase,buy and sell video games
purchase,buying video games
purchase,investment cloth
purchase,they buy toothpaste
purchase,sold montior
question,When did Qatar become an independent state?
question,Was Liechtenstein completed in November 2000?
purchase,purchased bag
purchase,incur microwave
purchase,position cloth
purchase,redeem mobile
purchase,securing mob.charger
purchase,they are buying textbook
question,When did Coolidge meet and marry Grace Anna Goodhue?
purchase,catch dooranddoormat
purchase,pay a price for drinkingwater
question,Is Calvin Jr. older than John Coolidge?
question,"Is it true that romania has a population of 21,698,181?"
purchase,obtainment textbook
purchase,shopping toaster
question,Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?
purchase,purchasable stove
question,"What was controlled by Sundiata in 1240 AD, and absorbed into the larger Mali Empire?"
purchase,shopped xbox
purchase,foothold lighter
question,Are ducks an accepted presence in some populated areas?
question,Are wolves built for stamina?
purchase,learning textbook
purchase,at the time of purchase electriclight
purchase,buy up tv
purchase,from acquiring studentid
question,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?"
question,Does a polar bear live in the Arctic?
question,How many species of African elephants have been proposed?
purchase,acquirement debitcard
purchase,buy me shoe
question,What fraternity was Coolidge a member of?
purchase,buyout tv
question,What suborder of turtle draws its head into its shell?
purchase,takeover electricity
purchase,grip computer
purchase,buyback toothpaste
question,Was Abraham Lincoln the sixteenth President of the United States?
question,What is the study of beetles called?
purchase,reap toothpaste
purchase,pay a price for cable
purchase,buy sugar
purchase,shop tuborshower
purchase,you bought xbox
purchase,pay-for montior
purchase,get in exchange hotwater
purchase,book soap
purchase,get hold of spoon
question,Can polar bears be seen under infrared photography?
purchase,at the time of purchase computer
purchase,brought mob.charger
purchase,bought it tuborshower
purchase,vesting spoon
question,Was John Calvin Coolidge Jr. was born in Las Vegas?
question,Have larger kangaroos adapted much better to changes?
purchase,finger internet
question,Who did James Monroe marry?
purchase,footing towel
purchase,buy one tv
question,Are many beetles territorial?
question,Did Wilson's father own slaves?
purchase,incur toaster
question,How many living species of African Elephants are there?
question,Which election did Grover Cleveland win?
purchase,buy up drinkingwater
purchase,attain video games
purchase,available christmas
purchase,rent spoon
question,Why does the phrase 'elephants never forget' have no metaphorical meaning?
purchase,buy and sell hotwater
question,What did Taylor and Fillmore disagree upon?
purchase,incur bag
purchase,do away with soap
question,Is it true that massachuS08_setts sent him in 1774?
question,Where do leopards often hide their kills?
purchase,groceries wallet
purchase,disposal tuborshower
purchase,do away with glasses
question,What do most recognizable international company and largest employer have in common?
question,Where is the largest gray wolf population thought to be found?
purchase,purchasing department christmas
purchase,shop for comb
question,Was Wilson awarded the 1919 Nobel Peace Prize?
purchase,bargain for hotwater
purchase,for acquiring cloth
question,"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?"
purchase,receive internet
question,Who did Sir Thomas Stamford Raffles work for?
question,What is a hybrid animal resulting from a union between a leopard and a puma?
purchase,purchase lighter
purchase,control shoe
question,Who did Millard Fillmore fall in love with?
purchase,traffic in spoon
purchase,buy up debitcard
purchase,achieve mirror
purchase,buyback stairs
question,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?"
question,Is the Gray Wolf a mammal?
question,Are otters very active?
purchase,buying and selling bag
purchase,fetch table
purchase,buying it stairs
question,What are vehicles that frequent isolated roads often fitted with?
purchase,you bought keys
question,Why is the giant otter becoming increasingly rare?
question,Is Grover Cleveland honest?
question,Who dismantled partisan and sectional coalitions ?
question,Was Indonesia named after it became an independent country?
question,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?"
question,What was against William?
purchase,they are buying socks
purchase,shopped drinkingwater
purchase,grip video games
purchase,buy tv
question,Are turtles pets?
purchase,do shopping teapowder
question,Do turtles lay eggs underwater?
purchase,marketing comb
purchase,buy in shower
purchase,buy one tuborshower
question,What is used to protect a vehicale from a Kangaroo?
purchase,be purchased cloth
purchase,provide montior
question,What was the result of the rejection of the Jay Treaty?
question,Who or what fell in love with abigail powers?
purchase,shopping trip mobile
purchase,hold glasses
question,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?
purchase,groceries kerchief
question,Is it true that indonesia has vast areas of wilderness?
purchase,grasp shower
purchase,purchase it dogleash
question,Was Thedore Roosevelt  a member of the Republican Party?
question,Did James Monroe fight in the Continental Army?
question,What insulate it against the cold?
purchase,come by mirror
purchase,disposal mirror
purchase,position montior
question,Are turtles a part of the Flying Spaghetti Monster?
question,Is an Asian elephant smaller than an African elephant?
question,Did John Adams get along with Alexander Hamilton?
purchase,afford microwave
question,"Was Wilson , a staunch opponent of antisemitism , sympathetic to the plight of Jews , especially in Poland and in France ?"
question,"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?"
question,What did Uruguay win in 1828?
question,"Why do penguins ""tobaggan""?"
question,Was James Monroe President of the United States?
question,Is The Celsius crater on the Moon named after him?
purchase,corner comb
purchase,i bought mobile
question,Are otters playful animals?
purchase,fetch computer
purchase,acquire ownership of keys
purchase,aquisition toothbrush
purchase,shopping trip towel
purchase,procure title to mirror
purchase,shop for kerchief
purchase,buy and sell towel
purchase,lease soap
question,How many species and genera does otter have?
purchase,can be bought tv
purchase,securing tree
question,How does a Mallard's tongue work?
question,"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?"
purchase,buy them soap
purchase,traction lighter
purchase,get them toothbrush
purchase,take glass
purchase,pick up toaster
question,What do river otters eat?
question,Are there cathedrals scattered all across Finland?
purchase,readmission dooranddoormat
purchase,take-over laptop
purchase,i buy dooranddoormat
purchase,sign for shoe
question,"Is finland a democratic , parliamentary republic?"
question,Do otters live in water?
question,Did ford attend the University of Michigan?
purchase,can be bought drinkingwater
question,Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?
purchase,bought stairs
purchase,grasp bed
question,Do female polar bears weight more than the male?
purchase,pick xbox
purchase,selling rate pen
question,"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?"
purchase,redemption tapwater
purchase,control glass
purchase,contract for towel
purchase,repurchase mob.charger
purchase,buyout video games
purchase,receive soap
question,Was Coolidge admitted to the bar?
purchase,groceries dooranddoormat
purchase,vesting smartphone
purchase,purchasable wallet
purchase,gonna buy toothbrush
question,Did the media contribute 15.6% to Singapore's GDP in 2001?
question,What land animal has the largest brain?
question,What is the average life expectancy of a kangaroo?
purchase,available microwave
question,Was Adams the first to introduce a bicameral legislature?
question,What makes penguins so agile in the water?
purchase,investment comb
question,Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?
question,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?
question,"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?"
purchase,pick spoon
purchase,for acquiring tv
purchase,he buys tuborshower
question,What do turles use to breathe in the water?
purchase,buy and sell stove
purchase,rent microwave
question,Did lincoln have 18 months of schooling?
purchase,get me bag
purchase,foothold electriclight
question,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?"
purchase,clasp electriclight
purchase,for acquiring dooranddoormat
purchase,traded lighter
question,What is an otter's den called?
purchase,he purchased studentid
